Utility,MW-Age,Utility-Em,Fuel,Fuel-MW,Fuel-Age
Alabama Power Co,41.807739667149384,0.058702742261494495,WAT,1729.5,59.822087308470664
Alabama Power Co,41.807739667149384,0.058702742261494495,NG,4401.1,38.5219149758015
Alabama Power Co,41.807739667149384,0.058702742261494495,BIT,2144.5,47.044719048729306
Alabama Power Co,41.807739667149384,0.058702742261494495,DFO,21.2,49.0
Alabama Power Co,41.807739667149384,0.058702742261494495,NUC,1776.4,40.0
Alabama Power Co,41.807739667149384,0.058702742261494495,LIG,0.0,0.0
Alabama Power Co,41.807739667149384,0.058702742261494495,SUB,2822.0,33.25
Alabama Power Co,41.807739667149384,0.058702742261494495,RC,0.0,0.0
Alabama Power Co,41.807739667149384,0.058702742261494495,WND,0.0,0.0
Alabama Power Co,41.807739667149384,0.058702742261494495,SUN,18.0,2.0
Alabama Power Co,41.807739667149384,0.058702742261494495,GEO,0.0,0.0
Alabama Power Co,41.807739667149384,0.058702742261494495,LFG,0.0,0.0
Alabama Power Co,41.807739667149384,0.058702742261494495,MWH,0.0,0.0
Alabama Power Co,41.807739667149384,0.058702742261494495,WDS,0.0,0.0
Alabama Power Co,41.807739667149384,0.058702742261494495,RFO,0.0,0.0
Alabama Power Co,41.807739667149384,0.058702742261494495,JF,0.0,0.0
Alabama Power Co,41.807739667149384,0.058702742261494495,SGC,0.0,0.0
Alabama Power Co,41.807739667149384,0.058702742261494495,KER,0.0,0.0
Alabama Power Co,41.807739667149384,0.058702742261494495,PC,0.0,0.0
Alabama Power Co,41.807739667149384,0.058702742261494495,MSW,0.0,0.0
Alabama Power Co,41.807739667149384,0.058702742261494495,WO,0.0,0.0
Alabama Power Co,41.807739667149384,0.058702742261494495,PG,0.0,0.0
Alabama Power Co,41.807739667149384,0.058702742261494495,SGP,0.0,0.0
Alabama Power Co,41.807739667149384,0.058702742261494495,OBL,0.0,0.0
Alabama Power Co,41.807739667149384,0.058702742261494495,OTH,0.0,0.0
Alabama Power Co,41.807739667149384,0.058702742261494495,WH,0.0,0.0
Alabama Power Co,41.807739667149384,0.058702742261494495,OBG,0.0,0.0
Alabama Power Co,41.807739667149384,0.058702742261494495,OG,0.0,0.0
El Paso Electric Co,27.025336417157277,0.058751892346509675,WAT,0.0,0.0
El Paso Electric Co,27.025336417157277,0.058751892346509675,NG,1894.3999999999999,27.133657094594597
El Paso Electric Co,27.025336417157277,0.058751892346509675,BIT,0.0,0.0
El Paso Electric Co,27.025336417157277,0.058751892346509675,DFO,0.0,0.0
El Paso Electric Co,27.025336417157277,0.058751892346509675,NUC,0.0,0.0
El Paso Electric Co,27.025336417157277,0.058751892346509675,LIG,0.0,0.0
El Paso Electric Co,27.025336417157277,0.058751892346509675,SUB,0.0,0.0
El Paso Electric Co,27.025336417157277,0.058751892346509675,RC,0.0,0.0
El Paso Electric Co,27.025336417157277,0.058751892346509675,WND,0.0,0.0
El Paso Electric Co,27.025336417157277,0.058751892346509675,SUN,8.0,1.375
El Paso Electric Co,27.025336417157277,0.058751892346509675,GEO,0.0,0.0
El Paso Electric Co,27.025336417157277,0.058751892346509675,LFG,0.0,0.0
El Paso Electric Co,27.025336417157277,0.058751892346509675,MWH,0.0,0.0
El Paso Electric Co,27.025336417157277,0.058751892346509675,WDS,0.0,0.0
El Paso Electric Co,27.025336417157277,0.058751892346509675,RFO,0.0,0.0
El Paso Electric Co,27.025336417157277,0.058751892346509675,JF,0.0,0.0
El Paso Electric Co,27.025336417157277,0.058751892346509675,SGC,0.0,0.0
El Paso Electric Co,27.025336417157277,0.058751892346509675,KER,0.0,0.0
El Paso Electric Co,27.025336417157277,0.058751892346509675,PC,0.0,0.0
El Paso Electric Co,27.025336417157277,0.058751892346509675,MSW,0.0,0.0
El Paso Electric Co,27.025336417157277,0.058751892346509675,WO,0.0,0.0
El Paso Electric Co,27.025336417157277,0.058751892346509675,PG,0.0,0.0
El Paso Electric Co,27.025336417157277,0.058751892346509675,SGP,0.0,0.0
El Paso Electric Co,27.025336417157277,0.058751892346509675,OBL,0.0,0.0
El Paso Electric Co,27.025336417157277,0.058751892346509675,OTH,0.0,0.0
El Paso Electric Co,27.025336417157277,0.058751892346509675,WH,0.0,0.0
El Paso Electric Co,27.025336417157277,0.058751892346509675,OBG,0.0,0.0
El Paso Electric Co,27.025336417157277,0.058751892346509675,OG,0.0,0.0
City of Madelia - (MN),43.398305084745765,0.05899999999999999,WAT,0.0,0.0
City of Madelia - (MN),43.398305084745765,0.05899999999999999,NG,11.8,43.398305084745765
City of Madelia - (MN),43.398305084745765,0.05899999999999999,BIT,0.0,0.0
City of Madelia - (MN),43.398305084745765,0.05899999999999999,DFO,0.0,0.0
City of Madelia - (MN),43.398305084745765,0.05899999999999999,NUC,0.0,0.0
City of Madelia - (MN),43.398305084745765,0.05899999999999999,LIG,0.0,0.0
City of Madelia - (MN),43.398305084745765,0.05899999999999999,SUB,0.0,0.0
City of Madelia - (MN),43.398305084745765,0.05899999999999999,RC,0.0,0.0
City of Madelia - (MN),43.398305084745765,0.05899999999999999,WND,0.0,0.0
City of Madelia - (MN),43.398305084745765,0.05899999999999999,SUN,0.0,0.0
City of Madelia - (MN),43.398305084745765,0.05899999999999999,GEO,0.0,0.0
City of Madelia - (MN),43.398305084745765,0.05899999999999999,LFG,0.0,0.0
City of Madelia - (MN),43.398305084745765,0.05899999999999999,MWH,0.0,0.0
City of Madelia - (MN),43.398305084745765,0.05899999999999999,WDS,0.0,0.0
City of Madelia - (MN),43.398305084745765,0.05899999999999999,RFO,0.0,0.0
City of Madelia - (MN),43.398305084745765,0.05899999999999999,JF,0.0,0.0
City of Madelia - (MN),43.398305084745765,0.05899999999999999,SGC,0.0,0.0
City of Madelia - (MN),43.398305084745765,0.05899999999999999,KER,0.0,0.0
City of Madelia - (MN),43.398305084745765,0.05899999999999999,PC,0.0,0.0
City of Madelia - (MN),43.398305084745765,0.05899999999999999,MSW,0.0,0.0
City of Madelia - (MN),43.398305084745765,0.05899999999999999,WO,0.0,0.0
City of Madelia - (MN),43.398305084745765,0.05899999999999999,PG,0.0,0.0
City of Madelia - (MN),43.398305084745765,0.05899999999999999,SGP,0.0,0.0
City of Madelia - (MN),43.398305084745765,0.05899999999999999,OBL,0.0,0.0
City of Madelia - (MN),43.398305084745765,0.05899999999999999,OTH,0.0,0.0
City of Madelia - (MN),43.398305084745765,0.05899999999999999,WH,0.0,0.0
City of Madelia - (MN),43.398305084745765,0.05899999999999999,OBG,0.0,0.0
City of Madelia - (MN),43.398305084745765,0.05899999999999999,OG,0.0,0.0
USCE-Mobile District,43.37758286244412,0.0,WAT,1185.7,43.37758286244412
USCE-Mobile District,43.37758286244412,0.0,NG,0.0,0.0
USCE-Mobile District,43.37758286244412,0.0,BIT,0.0,0.0
USCE-Mobile District,43.37758286244412,0.0,DFO,0.0,0.0
USCE-Mobile District,43.37758286244412,0.0,NUC,0.0,0.0
USCE-Mobile District,43.37758286244412,0.0,LIG,0.0,0.0
USCE-Mobile District,43.37758286244412,0.0,SUB,0.0,0.0
USCE-Mobile District,43.37758286244412,0.0,RC,0.0,0.0
USCE-Mobile District,43.37758286244412,0.0,WND,0.0,0.0
